Region,Year,Gender,Age_Group,Population,PCC_litres_year,Correction_factor,Relative_consumption,P_LA,P_FD,P_CD,P_BD
02:PE,2010,Female,65+,11425,9.9268,0.8,29.3673,0.183813,0.264181,0.552006,0.05404
02:PE,2011,Male,15-34,16445,9.568,0.8,100,0.124132,0.088995,0.786872,0.458865
02:PE,2011,Male,35-64,28135,9.568,0.8,93.5185,0.041276,0.141198,0.817526,0.326034
02:PE,2011,Male,65+,8760,9.568,0.8,81.6607,0.122497,0.239245,0.638258,0.193699
02:PE,2011,Female,15-34,17295,9.568,0.8,46.6834,0.180309,0.11685,0.702842,0.32505
02:PE,2011,Female,35-64,29820,9.568,0.8,40.1998,0.097409,0.169006,0.733584,0.1922
02:PE,2011,Female,65+,11425,9.568,0.8,28.3397,0.178872,0.267154,0.553974,0.059844
02:PE,2012,Male,15-34,16350,9.6876,0.8,100,0.11946,0.091793,0.788747,0.46435
02:PE,2012,Male,35-64,29410,9.6876,0.8,93.429,0.036601,0.143989,0.81941,0.331523
02:PE,2012,Male,65+,10140,9.6876,0.8,81.4045,0.117838,0.242056,0.640106,0.199177
02:PE,2012,Female,15-34,16950,9.6876,0.8,45.9407,0.175635,0.119647,0.704718,0.330536
02:PE,2012,Female,35-64,31645,9.6876,0.8,39.3667,0.092743,0.1718,0.735458,0.197686
02:PE,2012,Female,65+,12655,9.6876,0.8,27.3407,0.174212,0.269964,0.555825,0.065323
02:PE,2013,Male,15-34,17554,9.4484,0.8,100,0.120272,0.091297,0.788431,0.463387
02:PE,2013,Male,35-64,29412,9.4484,0.8,93.4451,0.037413,0.143493,0.819093,0.330559
02:PE,2013,Male,65+,11737,9.4484,0.8,81.4487,0.118689,0.241567,0.639744,0.1982
02:PE,2013,Female,15-34,18190,9.4484,0.8,46.0734,0.176455,0.119153,0.704393,0.32957
02:PE,2013,Female,35-64,31061,9.4484,0.8,39.5156,0.093558,0.171305,0.735136,0.196721
02:PE,2013,Female,65+,13236,9.4484,0.8,27.5177,0.175062,0.269475,0.555464,0.064346
02:PE,2014,Male,15-34,17356,9.4484,0.8,100,0.114768,0.094586,0.790646,0.469843
02:PE,2014,Male,35-64,29021,9.4484,0.8,93.3362,0.031915,0.146778,0.821308,0.337016
02:PE,2014,Male,65+,12360,9.4484,0.8,81.1397,0.113202,0.244871,0.641927,0.204647
02:PE,2014,Female,15-34,17772,9.4484,0.8,45.1774,0.170944,0.122441,0.706615,0.336029
02:PE,2014,Female,35-64,30908,9.4484,0.8,38.5106,0.088062,0.174589,0.73735,0.203178
02:PE,2014,Female,65+,13839,9.4484,0.8,26.3126,0.169576,0.272779,0.557644,0.070793
02:PE,2015,Male,15-34,17159,9.6876,0.8,100,0.114216,0.094915,0.790869,0.470489
02:PE,2015,Male,35-64,28630,9.6876,0.8,93.3251,0.031363,0.147106,0.821531,0.337663
02:PE,2015,Male,65+,12983,9.6876,0.8,81.1069,0.112671,0.245206,0.642123,0.205285
02:PE,2015,Female,15-34,17355,9.6876,0.8,45.0863,0.170391,0.122769,0.70684,0.336675
02:PE,2015,Female,35-64,30755,9.6876,0.8,38.4085,0.087513,0.174918,0.737569,0.203823
02:PE,2015,Female,65+,14441,9.6876,0.8,26.1888,0.169048,0.273114,0.557837,0.071431
03:NS,2006,Male,15-34,118176,9.568,0.8,100,0.112972,0.091095,0.795933,0.4905
03:NS,2006,Male,35-64,203874,9.568,0.8,93.2685,0.033259,0.143999,0.822742,0.35654
03:NS,2006,Male,65+,59129,9.568,0.8,81.4186,0.109094,0.240764,0.650142,0.22613
03:NS,2006,Female,15-34,121122,9.568,0.8,45.704,0.169264,0.118971,0.711765,0.356639
03:NS,2006,Female,35-64,209349,9.568,0.8,38.9688,0.089593,0.171859,0.738548,0.22264
03:NS,2006,Female,65+,78009,9.568,0.8,27.0939,0.166147,0.268831,0.565022,0.092023
03:NS,2007,Male,15-34,116760,9.8072,0.8,100,0.113186,0.090917,0.795897,0.490199
03:NS,2007,Male,35-64,203750,9.8072,0.8,93.2727,0.033529,0.143834,0.822637,0.356219
03:NS,2007,Male,65+,60438,9.8072,0.8,81.4291,0.109427,0.240613,0.649961,0.225787
03:NS,2007,Female,15-34,119469,9.8072,0.8,45.7507,0.169467,0.11879,0.711743,0.356342
03:NS,2007,Female,35-64,210277,9.8072,0.8,39.0168,0.089907,0.171704,0.738389,0.222303
03:NS,2007,Female,65+,79080,9.8072,0.8,27.1519,0.16647,0.268678,0.564852,0.091683
03:NS,2008,Male,15-34,109020,9.9268,0.8,100,0.115382,0.0896,0.795018,0.487618
03:NS,2008,Male,35-64,198805,9.9268,0.8,93.3159,0.035744,0.142523,0.821733,0.353631
03:NS,2008,Male,65+,57510,9.9268,0.8,81.5475,0.111704,0.239312,0.648983,0.223178
03:NS,2008,Female,15-34,112857,9.9268,0.8,46.1079,0.17161,0.117462,0.710928,0.35378
03:NS,2008,Female,35-64,217481,9.9268,0.8,39.4143,0.09213,0.170395,0.737475,0.219712
03:NS,2008,Female,65+,76056,9.9268,0.8,27.6247,0.16874,0.267376,0.563884,0.089077
03:NS,2009,Male,15-34,109020,9.9268,0.8,100,0.118714,0.087634,0.793652,0.483734
03:NS,2009,Male,35-64,196895,9.9268,0.8,93.3821,0.039038,0.140551,0.820411,0.349758
03:NS,2009,Male,65+,59420,9.9268,0.8,81.7242,0.115089,0.237355,0.647556,0.219276
03:NS,2009,Female,15-34,114420,9.9268,0.8,46.6325,0.174883,0.115483,0.709634,0.349916
03:NS,2009,Female,35-64,208485,9.9268,0.8,40.0016,0.095446,0.168429,0.736125,0.215831
03:NS,2009,Female,65+,78810,9.9268,0.8,28.3248,0.172117,0.265415,0.562468,0.085178
03:NS,2010,Male,15-34,109020,9.6876,0.8,100,0.118233,0.087977,0.79379,0.484355
03:NS,2010,Male,35-64,196895,9.6876,0.8,93.3727,0.038502,0.140883,0.820615,0.350399
03:NS,2010,Male,65+,59420,9.6876,0.8,81.6934,0.11462,0.237705,0.647675,0.219892
03:NS,2010,Female,15-34,114420,9.6876,0.8,46.5476,0.174308,0.115806,0.709886,0.35057
03:NS,2010,Female,35-64,208485,9.6876,0.8,39.9044,0.094924,0.168764,0.736312,0.216467
